"filename","function","line_no","CEC"
"git/firezone/elixir/lib/portal_web/live/actors.ex","handle_event",426,2
"git/firezone/elixir/lib/portal_web/live/actors.ex","handle_event",455,4
"git/firezone/elixir/lib/portal_web/live/actors.ex","handle_event",479,4
"git/firezone/elixir/lib/portal_web/live/actors.ex","handle_event",509,2
"git/firezone/elixir/lib/portal_web/live/actors.ex","list_actors",1355,2
"git/ash/lib/ash/changeset/changeset.ex","fully_atomic_changeset",839,1
"git/ash/lib/ash/changeset/changeset.ex","run_atomic_change",1253,6
"git/ash/lib/ash/changeset/changeset.ex","add_atomic_validations",3946,2
"git/ash/lib/ash/changeset/changeset.ex","belongs_to_attr_of_being_managed_through?",4581,1
"git/ash/lib/ash/changeset/changeset.ex","do_set_argument",6593,2
"git/ash/lib/ash/changeset/changeset.ex","do_change_attribute",6794,2
"git/ash/lib/ash/changeset/changeset.ex","force_change_attribute",6943,2
"git/ash/lib/ash/changeset/changeset.ex","filter",7610,1
"git/phoenix_live_view/lib/phoenix_live_view/test/client_proxy.ex","maybe_values",1323,1
"git/phoenix_live_view/lib/phoenix_live_view/test/client_proxy.ex","calendar_value",1497,1
"git/electric/examples/burn/lib/burn_web/auth.ex","fetch_api_user",8,1
"git/firezone/elixir/lib/portal_web/controllers/userpass_controller.ex","sign_in",27,1
"git/electric/packages/sync-service/lib/electric/replication/eval/walker.ex","accumulating_fold",56,2
"git/supavisor/lib/supavisor/client_handler.ex","handle_event",247,1
"git/supavisor/lib/supavisor/client_handler.ex","handle_event",316,4
"git/supavisor/lib/supavisor/client_handler.ex","handle_event",373,1
"git/supavisor/lib/supavisor/client_handler.ex","maybe_checkout",807,2
"git/supavisor/lib/supavisor/client_handler.ex","handle_data",847,1
"git/ash/lib/ash/action_input.ex","for_action",243,1
"git/ash/lib/ash/action_input.ex","set_argument",612,3
"git/ash/lib/ash/action_input.ex","do_validation",1380,6
"git/anoma/lib/node/replay/start_state.ex","startup_arguments",76,1
"git/teslamate/lib/teslamate_web/live/settings_live/index.ex","handle_params",32,1
"git/analytics/lib/plausible/billing/qouta/quota.ex","usage_fits_plan?",90,1
"git/firezone/elixir/lib/portal/billing.ex","create_customer",276,1
"git/firezone/elixir/lib/portal/billing.ex","update_stripe_customer",306,2
"git/firezone/elixir/lib/portal/billing.ex","fetch_customer_account_id",341,2
"git/firezone/elixir/lib/portal/billing.ex","create_subscription",374,1
"git/firezone/elixir/lib/portal/billing.ex","fetch_product",393,2
"git/firezone/elixir/lib/portal/billing.ex","provision_stripe_for_signup",465,1
"git/firezone/elixir/lib/portal/billing.ex","provision_account",493,2
"git/ash/lib/ash/actions/aggregate.ex","run",84,2
"git/ash/lib/ash/actions/aggregate.ex","run",108,1
"git/nerves/lib/nerves/env.ex","validate_env_directory",276,1
"git/firezone/elixir/lib/portal_web/plugs/allow_ecto_sandbox.ex","call",11,1
"git/phoenix_live_view/lib/phoenix_live_view/test/dom.ex","valid_display_size",379,1
"git/anoma/lib/node/transaction/shard/cell.ex","reserve",29,2
"git/anoma/lib/node/transaction/shard/cell.ex","replace_detail",133,2
"git/firezone/elixir/lib/portal/policies/evaluator.ex","parse_time_ranges",299,2
"git/firezone/elixir/lib/portal/policies/evaluator.ex","parse_time_range",348,2
"git/firezone/elixir/lib/portal_api/controllers/resource_controller.ex","index",24,1
"git/firezone/elixir/lib/portal_api/controllers/resource_controller.ex","show",48,1
"git/firezone/elixir/lib/portal_api/controllers/resource_controller.ex","create",70,1
"git/firezone/elixir/lib/portal_api/controllers/resource_controller.ex","update",106,1
"git/firezone/elixir/lib/portal_api/controllers/resource_controller.ex","delete",137,1
"git/supavisor/lib/supavisor/auth_query.ex","parse_secret",127,1
"git/firezone/elixir/lib/portal_web/controllers/oidc_controller.ex","load_auth_context",65,2
"git/firezone/elixir/lib/portal_web/controllers/oidc_controller.ex","run_authentication_flow",110,1
"git/firezone/elixir/lib/portal/azure_communication_services.ex","delivery_report",37,3
"git/analytics/lib/plausible_web/controllers/stats_controller.ex","validate_shared_link_password",303,1
"git/phoenix_live_dashboard/lib/phoenix/live_dashboard/page_live.ex","assign_mount",51,1
"git/phoenix_live_dashboard/lib/phoenix/live_dashboard/page_live.ex","get_stored_refresh",101,1
"git/firezone/elixir/lib/portal_web/live/settings/authentication.ex","handle_event",150,1
"git/firezone/elixir/lib/portal_web/live/settings/authentication.ex","assign_default_provider",1543,2
"git/firezone/elixir/lib/portal_web/live/settings/authentication.ex","clear_default_provider",1576,1
"git/nerves/lib/nerves/utils/wsl.ex","get_fwup_devices",62,2
"git/ash/lib/ash/reactor/steps/change_step.ex","run",16,2
"git/ash/lib/ash/type/struct.ex","handle_instance_of",379,2
"git/firezone/elixir/lib/portal_api/controllers/google_directory_controller.ex","show",41,1
"git/analytics/lib/plausible/stats/api_query_parser.ex","parse_timestamp_strings",214,1
"git/asciinema-server/lib/asciinema/recordings/markers.ex","parse_one",30,1
"git/ash/lib/ash/actions/create/bulk.ex","run_batch",1146,2
"git/realtime/lib/realtime/tenants/rebalancer.ex","check",15,1
"git/analytics/extra/lib/plausible_web/sso/real_saml_adapter.ex","consume",81,2
